iter	Passed	Remaining
400	26001	38840
401	26066	38775
402	26131	38710
403	26199	38650
404	26265	38588
405	26331	38524
406	26397	38461
407	26462	38397
408	26527	38331
409	26593	38268
410	26656	38201
411	26726	38144
412	26792	38080
413	26857	38015
414	26920	37947
415	26983	37881
416	27046	37813
417	27110	37747
418	27174	37680
419	27242	37621
420	27308	37557
421	27361	37476
422	27435	37423
423	27499	37357
424	27566	37296
425	27632	37232
426	27696	37166
427	27764	37105
428	27827	37038
429	27891	36972
430	27955	36906
431	28019	36839
432	28081	36772
433	28146	36707
434	28218	36651
435	28284	36588
436	28349	36522
437	28412	36456
438	28477	36392
439	28541	36325
440	28606	36260
441	28671	36196
442	28738	36133
443	28803	36069
444	28867	36003
445	28931	35937
446	28996	35872
447	29059	35805
448	29122	35738
449	29189	35675
450	29264	35624
451	29330	35559
452	29394	35493
453	29458	35427
454	29522	35362
455	29586	35296
456	29649	35228
457	29720	35171
458	29787	35108
459	29853	35045
460	29917	34979
461	29983	34915
462	30047	34850
463	30112	34785
464	30181	34724
465	30248	34662
466	30317	34602
467	30382	34537
468	30448	34473
469	30511	34407
470	30577	34342
471	30642	34278
472	30711	34217
473	30783	34160
474	30848	34095
475	30913	34030
476	30977	33964
477	31043	33901
478	31107	33834
479	31172	33769
480	31238	33706
481	31304	33642
482	31371	33580
483	31437	33515
484	31502	33450
485	31565	33384
486	31630	33319
487	31706	33265
488	31778	33208
489	31873	33174
490	31956	33127
491	32045	33087
492	32121	33034
493	32203	32986
494	32276	32928
495	32357	32879
496	32442	32833
497	32522	32783
498	32602	32733
499	32670	32670
500	32739	32609
501	32805	32543
502	32868	32476
503	32939	32416
504	33005	32352
505	33071	32286
506	33138	32223
507	33210	32164
508	33285	32108
509	33350	32042
510	33417	31978
511	33483	31913
512	33546	31846
513	33613	31782
514	33683	31721
515	33751	31658
516	33820	31596
517	33885	31530
518	33950	31465
519	34017	31400
520	34081	31334
521	34158	31279
522	34251	31238
523	34323	31179
524	34387	31112
525	34455	31049
526	34521	30984
527	34588	30919
528	34657	30857
529	34722	30791
530	34790	30728
531	34856	30663
532	34918	30594
533	34985	30530
534	35049	30463
535	35116	30399
536	35186	30338
537	35255	30274
538	35327	30214
539	35393	30149
540	35459	30085
541	35528	30022
542	35595	29957
543	35669	29899
544	35741	29839
545	35808	29774
546	35872	29707
547	35938	29642
548	36003	29576
549	36066	29509
550	36130	29442
551	36199	29379
552	36266	29314
553	36330	29248
554	36394	29181
555	36461	29116
556	36524	29049
557	36593	28986
558	36663	28924
559	36731	28860
560	36796	28794
561	36862	28729
562	36927	28663
563	36993	28598
564	37058	28531
565	37123	28465
566	37192	28402
567	37257	28336
568	37321	28270
569	37385	28203
570	37449	28136
571	37513	28069
572	37579	28004
573	37644	27938
574	37712	27874
575	37778	27809
576	37841	27741
577	37908	27677
578	37973	27611
579	38038	27544
580	38101	27477
581	38167	27412
582	38236	27349
583	38300	27282
584	38365	27216
585	38431	27151
586	38497	27085
587	38560	27018
588	38624	26951
589	38693	26888
590	38760	26823
591	38826	26759
592	38890	26692
593	38957	26627
594	39021	26560
595	39087	26495
596	39155	26431
597	39222	26367
598	39288	26301
599	39353	26235
600	39418	26169
601	39482	26102
602	39545	26035
603	39611	25970
604	39695	25916
605	39762	25852
606	39829	25787
607	39894	25721
608	39959	25655
609	40023	25588
610	40086	25521
611	40154	25457
612	40223	25393
613	40288	25328
614	40354	25262
615	40418	25196
616	40482	25129
617	40545	25062
618	40609	24995
619	40679	24932
620	40744	24866
621	40809	24800
622	40877	24736
623	40940	24669
624	41006	24604
625	41074	24539
626	41140	24474
627	41210	24411
628	41275	24345
629	41342	24280
630	41407	24214
631	41458	24140
632	41527	24076
633	41591	24010
634	41658	23945
635	41727	23881
636	41797	23818
637	41861	23751
638	41926	23686
639	41990	23619
640	42054	23553
641	42122	23489
642	42189	23423
643	42253	23357
644	42317	23291
645	42380	23224
646	42444	23157
