iter	MultiClassOneVsAll
437	-0.1412333999
438	-0.1411949647
439	-0.1411430861
440	-0.1411048248
441	-0.1410662743
442	-0.1410190385
443	-0.1409672712
444	-0.1409164079
445	-0.1408865814
446	-0.140851179
447	-0.1408218671
448	-0.1407882699
449	-0.1407552721
450	-0.1407283003
451	-0.1407011791
452	-0.1406705319
453	-0.140643468
454	-0.1406057652
455	-0.1405754209
456	-0.1405327246
457	-0.1405018174
458	-0.1404525736
459	-0.1404233005
460	-0.1404036753
461	-0.1403686579
462	-0.1403372525
463	-0.140320189
464	-0.1402911333
465	-0.1402684712
466	-0.1402248614
467	-0.1401855318
468	-0.1401411869
469	-0.1401093316
470	-0.1400794698
471	-0.1400484815
472	-0.1399915126
473	-0.1399576177
474	-0.1399299899
475	-0.1399086143
476	-0.1398834197
477	-0.1398503002
478	-0.139820865
479	-0.1397908061
480	-0.1397394095
481	-0.1396813618
482	-0.1396557419
483	-0.1396284136
484	-0.1395976415
485	-0.1395722391
486	-0.1395437389
487	-0.1395143709
488	-0.1394909605
489	-0.1394504259
490	-0.1393969177
491	-0.1393708524
492	-0.1393396484
493	-0.139310799
494	-0.1392527025
495	-0.1392368588
496	-0.139218594
497	-0.1391948721
498	-0.1391739494
499	-0.1391352057
500	-0.1391195291
501	-0.1390753057
502	-0.1390446828
503	-0.1390258902
504	-0.1389967148
505	-0.1389293843
506	-0.1389064261
507	-0.1388753259
508	-0.1388443926
509	-0.1388210628
510	-0.1387826358
511	-0.1387513945
512	-0.138724806
513	-0.1386902223
514	-0.1386105695
515	-0.1385575019
516	-0.138525442
517	-0.1384875731
518	-0.1384547197
519	-0.1384331688
520	-0.1383800414
521	-0.1383253327
522	-0.1382872082
523	-0.1382445313
524	-0.1381976429
525	-0.1381704825
526	-0.1381554424
527	-0.1380824032
528	-0.138055418
529	-0.1380209326
530	-0.1379828214
531	-0.137967809
532	-0.137933564
533	-0.1379114714
534	-0.1378891344
535	-0.1378705648
536	-0.1378439331
537	-0.1378195262
538	-0.1378002909
539	-0.1377655252
540	-0.1377339474
541	-0.1377049579
542	-0.1376430677
543	-0.1375881568
544	-0.1375600489
545	-0.137528038
546	-0.1374879232
547	-0.1374676244
548	-0.1374236855
549	-0.1373856978
550	-0.1373504564
551	-0.1373235223
552	-0.1372901749
553	-0.1372437526
554	-0.1372219683
555	-0.1371997534
556	-0.1371683458
557	-0.1371311416
558	-0.1371046344
559	-0.1370900508
560	-0.1370328683
561	-0.1369749175
562	-0.1369552216
563	-0.1369126158
564	-0.1368764097
565	-0.1368538435
566	-0.1367870349
567	-0.1367668338
568	-0.1367516484
569	-0.1367026761
570	-0.136664391
571	-0.1366293715
572	-0.1366095854
573	-0.1365746221
574	-0.1365377417
575	-0.1365100833
576	-0.1364763147
577	-0.1364273263
578	-0.1364062226
579	-0.1363788308
580	-0.1363606056
581	-0.1363387496
582	-0.1362820959
583	-0.1362540453
584	-0.1362304742
585	-0.1361782425
586	-0.1361578985
587	-0.1361391309
588	-0.1361006109
589	-0.1360486733
590	-0.1360082273
591	-0.1359902005
592	-0.1359547602
593	-0.1359169673
594	-0.1358861932
595	-0.1358232495
596	-0.1358076979
597	-0.1357868761
598	-0.1357529093
599	-0.1357096386
600	-0.1356852828
601	-0.135664879
602	-0.1356206773
603	-0.1355766566
604	-0.1355490989
605	-0.1355189888
606	-0.1355049464
607	-0.1354841683
608	-0.1354570805
609	-0.1354326859
610	-0.1354130643
611	-0.1353659018
612	-0.1353029245
613	-0.1352864091
614	-0.13527049
615	-0.1352505194
616	-0.1352240172
617	-0.1351864643
618	-0.135148916
619	-0.1351149742
620	-0.1350863957
621	-0.1350648275
622	-0.1350434939
623	-0.1350248365
624	-0.1350022164
625	-0.1349661829
626	-0.1349503228
627	-0.1349023197
628	-0.134884952
629	-0.1348524062
630	-0.1348015117
631	-0.1347993022
632	-0.1347681106
633	-0.1347537412
634	-0.1347050357
635	-0.1346610661
636	-0.1346397442
637	-0.1345863255
638	-0.1345453411
639	-0.1345248106
640	-0.1345012824
641	-0.1344521236
642	-0.1344241511
643	-0.1343958138
644	-0.1343630679
645	-0.1343310334
646	-0.1343096399
647	-0.1342598816
648	-0.1342240355
649	-0.1341986443
650	-0.1341639192
651	-0.1341453925
652	-0.134119602
653	-0.134075006
654	-0.1340212547
655	-0.1339796127
656	-0.1339638155
657	-0.1339392159
658	-0.1339001488
659	-0.1338407041
660	-0.1338120077
661	-0.1337920352
662	-0.1337657644
663	-0.1337510963
664	-0.1337196769
665	-0.133667115
666	-0.1336380614
667	-0.1336145835
668	-0.1335751184
669	-0.1335555612
670	-0.1335366354
671	-0.1335055237
672	-0.133489391
673	-0.1334606364
674	-0.1334367071
675	-0.1334204666
676	-0.133401342
677	-0.1333693919
678	-0.1333408857
679	-0.1332918809
680	-0.1332678091
681	-0.1332203355
682	-0.1331837947
683	-0.1331468219
684	-0.1331151785
685	-0.1330986752
686	-0.1330768976
687	-0.1330463784
688	-0.1330312493
689	-0.1329993431
690	-0.1329551166
691	-0.13292864
692	-0.1329083403
693	-0.1328737611
694	-0.1328542476
695	-0.1328186807
696	-0.132775098
697	-0.1327122154
698	-0.1326961885
699	-0.1326814561
700	-0.1326258167
701	-0.1326094766
702	-0.1325891451
703	-0.1325643293
704	-0.1325383959
705	-0.1325032677
706	-0.1324760152
707	-0.1324550411
708	-0.1324353535
709	-0.1324125434
710	-0.1323912463
711	-0.1323612259
712	-0.1323242209
713	-0.132303754
714	-0.1322884099
715	-0.13226708
716	-0.1322135856
717	-0.132184648
718	-0.1321446675
719	-0.1320958117
720	-0.1320674918
721	-0.1320455705
722	-0.1320181284
723	-0.1319672673
724	-0.131953152
725	-0.1319351164
726	-0.1319070898
727	-0.131875842
728	-0.1318457685
729	-0.1317798204
730	-0.1317499545
731	-0.1317393068
732	-0.1317243791
733	-0.1317148801
734	-0.1316839314
735	-0.1316395552
736	-0.1316269462
737	-0.1315949556
738	-0.1315821109
739	-0.1315606074
740	-0.1315379924
741	-0.1315033848
742	-0.1314765757
743	-0.131453133
744	-0.1314299866
745	-0.1313997737
746	-0.1313793088
747	-0.131323646
748	-0.1313048419
749	-0.1312568946
750	-0.1312225075
751	-0.131213262
752	-0.1311646921
753	-0.1311521443
754	-0.1311388339
755	-0.1310896539
756	-0.1310709059
757	-0.131055462
758	-0.1310213926
759	-0.130971542
760	-0.1309472276
761	-0.1309315382
762	-0.1309024114
763	-0.1308786223
764	-0.1308575018
765	-0.1308379016
766	-0.1308078473
767	-0.1307919094
768	-0.1307561414
769	-0.1307111023
770	-0.1306970256
771	-0.1306702539
772	-0.130656359
773	-0.1306364804
774	-0.1306207397
775	-0.1306093112
776	-0.1305930119
777	-0.1305688977
778	-0.1305474542
779	-0.1305300162
780	-0.1305204112
781	-0.1304828833
782	-0.130439555
783	-0.1304037662
784	-0.1303740703
785	-0.1303622586
786	-0.1303505658
787	-0.1303277446
788	-0.1303004585
789	-0.1302646233
790	-0.1302384729
791	-0.1302057391
792	-0.1301872472
793	-0.1301731781
794	-0.1301526741
795	-0.1300967261
796	-0.1300685358
797	-0.1300212589
798	-0.1299972382
799	-0.1299750329
800	-0.1299517949
801	-0.1299326219
802	-0.1299210409
803	-0.1299110374
804	-0.1298717647
805	-0.1298581386
806	-0.1298285475
807	-0.1298062254
808	-0.1297881839
809	-0.1297594556
810	-0.1297387885
811	-0.1297212336
812	-0.1297003538
813	-0.1296711535
814	-0.1296440232
815	-0.1295939885
816	-0.1295463375
817	-0.1295226673
818	-0.1294774015
819	-0.1294549602
820	-0.1294224233
821	-0.1293935456
822	-0.129370096
823	-0.1293560088
824	-0.1293359531
825	-0.1292916479
826	-0.1292727805
827	-0.1292554584
828	-0.1292246102
829	-0.1292001223
830	-0.1291661685
831	-0.1291340427
832	-0.1291109472
833	-0.1290932726
834	-0.1290570018
835	-0.1290300618
836	-0.1289947456
837	-0.1289450264
838	-0.1289205241
839	-0.1289097088
840	-0.1288906703
841	-0.1288693431
842	-0.1288514526
843	-0.1288224045
844	-0.1287927962
845	-0.1287580255
846	-0.1287451643
847	-0.1287197672
848	-0.128679395
849	-0.1286604698
850	-0.128641061
851	-0.1286082523
852	-0.128579187
853	-0.128547897
854	-0.1285207113
855	-0.1285069039
856	-0.1284786868
857	-0.1284521636
858	-0.128416597
859	-0.1283971598
860	-0.1283593116
861	-0.1283453336
862	-0.1283278294
863	-0.1283269167
864	-0.1283166523
865	-0.1282693893
866	-0.128250559
867	-0.1282299581
868	-0.1282109219
869	-0.1281892669
870	-0.1281669253
871	-0.1281460625
872	-0.1281100243
873	-0.1280846221
874	-0.1280625394
875	-0.1280485029
876	-0.1280170853
877	-0.1279825622
878	-0.1279566952
879	-0.1279531306
880	-0.127890734
881	-0.1278660444
882	-0.1278436852
883	-0.1278192802
884	-0.1277895054
885	-0.1277590151
886	-0.1277431209
887	-0.1277182005
888	-0.1276746087
889	-0.1276630705
890	-0.1276320151
891	-0.1275953408
892	-0.1275809931
893	-0.1275687471
894	-0.127556363
895	-0.1275278819
896	-0.127496427
897	-0.1274743084
898	-0.1274502165
899	-0.1274306035
900	-0.1274065126
901	-0.1273896894
902	-0.1273716702
903	-0.1273592796
904	-0.127344443
905	-0.1273337027
906	-0.1273222528
907	-0.1272965517
908	-0.1272554572
909	-0.1272402257
910	-0.1272038046
911	-0.1271812612
912	-0.1271604186
913	-0.1271332064
914	-0.1271085618
915	-0.1270833259
916	-0.1270581412
917	-0.1270415631
918	-0.1270284639
919	-0.1269764921
920	-0.1269485935
921	-0.1269298025
922	-0.1269115518
923	-0.1268910375
924	-0.1268542575
925	-0.1268276233
926	-0.1268103784
927	-0.1267955061
928	-0.1267787985
929	-0.1267625979
930	-0.1267370244
931	-0.1267192788
932	-0.1267073739
933	-0.1266791538
934	-0.1266642561
935	-0.126623111
936	-0.1266028326
937	-0.1265899959
938	-0.1265627532
939	-0.1265352062
940	-0.1265137601
941	-0.1264855586
942	-0.1264643959
943	-0.1264457023
944	-0.1264115431
945	-0.1264026092
946	-0.1263841381
947	-0.1263721667
948	-0.1263667506
949	-0.126340935
950	-0.1262738126
951	-0.1262497006
952	-0.1262257057
953	-0.1262127115
954	-0.1261461928
955	-0.1261193452
956	-0.126094818
957	-0.1260458621
958	-0.1260119674
959	-0.1259892449
960	-0.1259689933
961	-0.1259506621
962	-0.1259270773
963	-0.1259176959
964	-0.1258891808
965	-0.125862311
966	-0.1258395504
967	-0.1257911457
968	-0.125776126
969	-0.1257436344
970	-0.1257163892
971	-0.1256950526
972	-0.1256760673
973	-0.1256601377
974	-0.1256391199
975	-0.1255985479
976	-0.1255772598
977	-0.1255278426
978	-0.1254845356
979	-0.125466045
980	-0.1254451201
981	-0.1254205785
982	-0.1254010888
983	-0.1253627724
984	-0.1253624636
985	-0.1253282483
986	-0.1252984864
987	-0.1252801688
988	-0.1252672121
989	-0.1252340558
990	-0.1252211264
991	-0.1251985888
992	-0.1251760134
993	-0.1251527963
994	-0.1251411617
995	-0.1251100512
996	-0.1250939569
997	-0.1250325504
998	-0.1250106601
999	-0.1249884636
